New Code,OP
OP2918,Establish inventory of common data elements for data sharing
OP2919,Leverage the Digital Exchange Community of Practice (DXCoP)
OP2920,Establish mechanism for conformity to official languages and accessibility requirements
OP2931,Establish secure data sharing mechanisms
OP2932,"Establish data privacy protocols for data interoperability, reuse, and sharing"
OP2933,"Establish security controls for data access and storage for data interoperability, reuse, and sharing"
OP2934,"Establish data protection measures for data interoperability, reuse, and sharing"
OP2935,Enforce quality measures for data sharing including via API
OP167,Define data literacy requirements for analytics
OP168,Define a holistic data literacy training program
OP169,Create a data literacy training program
OP170,Train project team on data literacy
OP171,Evaluate data literacy training
OP256,Establish a data quality management program
OP257,Communicate DQM function to all stakeholders
OP258,Establish a data quality training program
OP2160,Establish data quality implementation plan
OP2161,Evaluate the effectiveness of the data quality implementation plan
OP259,Define enterprise data quality role and responsibilities
OP260,Manage a corporate list of data quality stakeholders
OP261,Establish stakeholder engagement mechanisms
OP262,Assign data quality roles
OP263,Define mechanisms to review and evaluate DQM performance
OP264,Conduct periodic assessment of the performance of the data quality organization
OP265,Define a data quality management policy
OP2158,Define data quality management standards
OP2159,Define data quality management procedures
OP266,Define a data quality management strategy
OP2156,Approve the data quality strategy
OP267,Periodically review DQM policy and strategy
OP268,"Communicate DQ policy, strategy, standards and procedures"
OP2157,Evaluate the effectiveness of the data quality strategy
OP2627,Define guidelines to assess the reliability of data sources
OP2998,"Establish and execute processes to validate, review, and approve data quality to meet operational needs."
OP2999,Create data quality review and validation processes
OP3000,Establish guidelines and measures for monitoring data quality
OP269,Identify in-scope data quality industry standards
OP270,Resolve gaps between enterprise policies and data quality industry standards
OP271,Align enterprise policies with data quality industry standards
OP272,Demonstrate compliance with enterprise policy and data quality standards
OP273,Define business and technical data quality dimensions
OP274,Define labelling standards 
OP275,Define enterprise standards and requirements for data entry controls
OP276,Map DQM Prodago Operating Practices to organizational policies and standards
OP277,Periodically review mapping of Prodago DQM Operating Practices to organizational policies and standards
OP278,Map DQM operating practices to corporate project deliverables
OP279,Map DQM operating practices to analytics processes
OP280,Create an Enterprise RACI for DQM operating practices
OP2317,Create a project RACI for data quality management
OP281,Define audit/assessment methodology DQM operating practices
OP282,Self assess DQM operating practices by a project
OP2314,"Attest that the DQ artefacts required for audit have been produced, approved and published"
OP283,Conduct formal audit of DQM operating practices
OP284,Plan and prioritize DQM operating practices improvements
OP285,Execute DQM operating practices implementation or improvements initiatives
OP286,"Design and implement DQM operating practices metrics, reports, and dashboards"
OP287,Monitor DQM operating practices
OP288,Define enterprise data quality risk tolerance 
OP289,Approve the data quality Risk Tolerance Statement
OP290,Communicate data quality risk tolerance statement to the organization
OP291,Audit compliance to data quality risk tolerance statement periodically
OP292,Define data quality risk assessment guidelines and procedures
OP293,Define enterprise data quality risks taxonomy
OP295,Communicate data quality risk framework
OP296,Define triggering factors leading to reassessment of data quality risks
OP297,Define triggering factors leading to review of data quality risk framework
OP298,Train personnel on data quality risk assessment
OP299,Periodically review data quality risks framework
OP300,Define user permissions for data quality risk register
OP301,Define guidelines and procedures for the data quality risk register
OP302,Periodically review data quality risks and mitigation
OP303,Define data quality risks assessment scope
OP304,Assess and document data quality risks
OP305,Re-assess risks based on triggering factors
OP306,Categorize data quality risks in register
OP307,Evaluate the data quality risk assessment process
OP294,Define controls and metrics to measure data quality risks
OP308,Define a mitigation plan for data quality risks
OP309,Communicate mitigation strategies for data quality risks to stakeholders
OP311,Update mitigation strategies based on ongoing monitoring/audit of data quality risks
OP312,Identify data quality risk reporting requirements
OP313,Define reporting and disclosure guidelines for data quality risks
OP314,Establish the data quality risk reporting structure
OP315,Produce data quality risks reports
OP316,Communicate data quality risks and mitigation to stakeholders
OP319,Monitor data quality risks
OP320,Escalate data quality risks
OP321,Monitor internal factors impacting data quality risks & factors
OP322,Monitor external factors impacting data quality risks
OP323,Monitor controls and metrics for data quality risks
OP324,Update the risk register based on ongoing monitoring of data quality risks (Triggered)
OP325,Update the risk taxonomy based on ongoing monitoring of data quality risk factors
OP326,Audit implementation and effectiveness of data quality risk mitigation strategies
OP330,"Define ""fit-for-use"" data quality requirements"
OP2299,"Define ""in the lab"" data quality requirements"
OP331,"Define ""in the field"" data quality requirements"
OP2865,Define data quality requirements
OP332,Validate data quality requirements
OP2304,"Communicate ""In the lab"" DQ requirements to data producers"
OP2306,Align data quality requirements with organizational standards
OP2154,Prioritize data quality requirements
OP333,Approve the data quality requirements by relevant stakeholders
OP334,Communicate data quality requirements to relevant stakeholders
OP335,Attest that data quality requirements have been documented and are approved
OP336,Define data discovery guidelines and procedures
OP2301,Establish model data quality assessment processes
OP337,Define data profiling (fit-for-use) guidelines and procedures
OP338,Define data quality assessment (fit-for-purpose) guidelines and procedures
OP1745,Define roles and responsibilities for data profiling
OP1746,Establish a classification schema for data profiling anomalies
OP1714,Establish provisions of training on data profiling principles
OP339,Define metadata quality assessment guidelines and procedures
OP340,Define dataset quality assessment guidelines and procedures
OP341,Conduct periodic assessment of data quality assessment processes
OP342,Define data discovery scope
OP343,Execute data discovery sessions (In the lab)
OP1622,Identify data proxies
OP345,Communicate data discovery results to relevant stakeholders
OP2628,Assess the reliability of data sources
OP346,Define data profiling scope
OP347,Establish the capability to profil data (all DQ Dimensions)
OP348,Profile in-scope data 
OP349,Analyze and interpret profiling results
OP350,Collect and historize profiling results
OP351,Communicate data quality assessment results to relevant stakeholders
OP2889,Establish processes to validate data quality from internal and third party sources
OP2760,Assess availability of data
OP2761,Validate data availability for intended purposes
OP352,Define DQ assessment scope 
OP353,Define DQ assessment parameters and assessment scores
OP1620,Assess quality of data sources (In the lab)
OP2402,Assess quality of data in targeted operational environment
OP2312,Evaluate the existing data quality against data quality requirements
OP354,Assess data quality using data profiling outputs
OP355,Assess data quality using means other than data profiling
OP356,Communicate data quality assessment results to relevant stakeholders
OP1901,Validate data quality against requirements
OP1621,Demonstrate data suitability for model
OP357,Assess metadata quality
OP358,Establish committees required to assess quality of training dataset
OP359,Assess training dataset quality
OP360,Periodically review and update the training dataset
OP2483,Define guidelines and procedures to determine and specify pipeline quality decision control points
OP2484,Validate pipeline quality decision control points
OP2485,Implement pipeline quality decision control points
OP2486,Establish processes to address and resolve deviations in pipeline quality
OP2479,Define quality requirements and criteria for the pipeline
OP2480,Define Pipeline Quality Indicators  
OP2481,Define pipeline quality decision control points  
OP2482,Validate and approve Pipeline Quality Indicators
OP2487,Document pipeline quality evaluation
OP2488,Create an escalation process for pipeline quality deviations
OP2489,Define processes for conducting root-cause analysis of pipeline quality
OP2490,Document and communicate the root-cause affecting the pipeline quality
OP2491,Conduct periodic audit of pipeline quality decision control points
OP2492,Implement pipeline quality monitoring
OP2493,Document pipeline quality assessments
OP2494,Validate produced pipeline quality artefacts
OP2495,Assess Pipeline Quality Monitoring operating practices
OP2162,Define data specifications and work instructions
OP2163,Execute Data Processing
OP369,Define formatting and cleansing requirements for operational inputs
OP370,Define guidelines and procedures to cleanse data
OP1579,Define reference data for cleansing context
OP371,Format and cleanse data (Training dataset input)
OP2403,Design and implement data formatting and cleansing processes (Operational inputs)
OP2164,Log Data Processing activities
OP372,Define data entry quality controls
OP2322,Establish guidelines to define and implement DQ control points
OP2323,Implement DQ controls at entry points into the AI system
OP373,Implement quality controls to prevent data entry errors
OP374,Define guidelines and procedures to manage data quality issues
OP375,Define procedures for managing a data quality issues repository
OP376,Define procedures to assess the impacts of data quality issues
OP377,Define procedures to assess the root causes of data quality issues
OP378,Establish data quality resolution procedures and processes
OP379,Establish a data quality issues repository
OP380,Establish a capability to track and document data quality issues
OP381,Record data quality issues in DQ issue repository
OP2405,Document data quality issues
OP382,Review and approve data issues logged into repository
OP383,Categorize data issues logged in repository
OP384,Monitor data issues logged in repository
OP385,Notify relevant data stakeholders of data issues
OP386,Re-assess impacts of data quality issues periodically
OP387,Assess and document potential impacts of data issues on model building
OP388,Assess and document potential impacts of data issues on models in production
OP390,Monitor impacts of data quality issues
OP391,Attest that data issue impacts have been assessed
OP392,Assess and document root causes of data quality issues
OP394,Report data quality root causes
OP395,Define roles and responsibilities specific to the resolution of data quality issues
OP396,Prioritize data issues to be resolved (Enterprise)
OP2197,Prioritize data issues to be resolved
OP1623,Track quality issues in model development data
OP397,Assign data quality issues for analysis & resolution
OP398,Define SLA for data quality issue resolution
OP2025,Define data quality remediation plan
OP399,Resolve data quality issues impacting a project
OP400,Report data issues resolution
OP401,Attest that data quality issues have been resolved
OP2582,Define operational data quality metrics and controls  
OP2583,Design and implement data quality metrics and controls
OP402,Define required data quality metrics
OP2300,Define model data quality metrics
OP2305,Validate model data quality metrics
OP403,Define thresholds for each data quality metric
OP404,Approve the data quality metrics and thresholds
OP406,Define processes to communicate data quality metrics and thresholds 
OP407,Develop a business case justifying data quality controls
OP408,Define and design required data quality controls
OP409,Review and approve data quality control design
OP410,Document data quality controls
OP411,Implement data quality controls in source systems
OP412,Attest that data quality controls have been built and deployed
OP413,Establish a data quality controls repository
OP2307,Establish data quality rubrics
OP414,Define guidelines and procedures to manage a data quality control repository
OP415,Define guidelines and procedures to monitor data quality 
OP416,Define escalation procedures for poor data quality
OP417,Operationalize DQ controls
OP418,Operationalize DQ metrics
OP419,Operationalize DQ issues management
OP420,Operationalize data transformation processes
OP421,Periodically review DQ assessment efficiency
OP2201,Periodically review data quality issues register
OP422,Periodically review DQ metrics & controls 
OP423,Evaluate the efficiency of data quality controls
OP1580,Monitor data quality integrity
OP424,Produce enterprise data quality dashboards
OP425,Produce periodic data quality dashboards (in context)
OP426,Execute data quality reports for all enterprise data
OP427,Execute data quality reports for specific name screening business rule
OP428,Execute quality reports on specific customer data business rules
OP429,Execute data quality reports for the TM & F Programs
OP2055,Attest that data quality is managed and adequate for the context
OP1748,Define roles and responsibilities for reference data management
OP1749,Document existing valid values
OP1750,Establish rules for new reference data values
OP1751,Assess proposed new value to reference data
OP1752,Document new value addition to reference data
OP1753,Detect unauthorized use of new reference data
OP1754,Harmonize reference data values across systems 
OP430,Define guidelines and procedures to create master data
OP431,Define master data management processes
OP432,Enterprises set standards for the definition of unique identifiers for master data
OP1757,Establish standardized values across the organization
OP1758,Establish external sources for data enrichment
OP1760,Establish a protocol to manage exceptions in the master data
OP1755,Establish identity resolution process
OP433,Resolve master data duplicates (In the field - Operational Inputs)
OP2404,Resolve master data duplicates (In the lab)
OP1576,Define a matching process within Master data
OP1577,Define survivorship process within Master Data
OP1578,Document created data within master data
OP1756,Monitor Master data management
OP2133,Define the sensitivity of the golden copy to false positive/negative
OP2134,Identify master data identifying attributes
OP2135,Map unique identifiers to physical data
OP2137,Analyze potential identifying attributes
OP2138,Standardize and cleanse data 
OP2139,Compile recordset from source systems
OP2140,Enrich records with reliable external sources
OP2141,"Establish a ""golden copy"" for master data records"
OP2142,Review and approve golden copy results
OP2143,Establish mechanism to monitor usage of golden copy
OP1759,Establish survivorship business rules
OP2144,Identify sources for master data attributes
OP2145,Assign source priorities and conditions
OP2146,Identify master records with conflicting attribute values
OP2147,Apply the attribute value conflict resolution rules
OP2148,Resolve master record with specified attribute values
OP2149,Establish mechanism to detect & report MDM exceptions
OP2150,Analyze the root cause of MDM exceptions
OP2151,Resolve master data exception
OP2152,Update MDM data processing documentation
OP2153,Update MDM/DQ exception rules
OP255,Identify and define authoritative data sources for Master data
OP1571,Identify and define authoritative data sources for Reference data
OP1572,Identify and define authoritative data sources for Transactional data
OP1573,Communicate authoritative data sources to relevant stakeholders
OP2361,Attest that authoritative data sources are being used
OP193,Assess data sources prior to usage
OP2869,Request exemption to not use authoritative data sources
OP2870,Review and make decision of authoritative source exemption
OP434,Define privacy vision and mission statement
OP435,Define enterprise privacy principles and standards
OP436,Establish privacy policy suite
OP437,Define enterprise codes of conduct to protect privacy
OP438,"Define privacy requirements for external contractors, vendors, and service providers"
OP439,Approve the enterprise privacy policies and procedures
OP2595,Define enterprise confidentiality policy for personal information
OP440,Communicate enterprise privacy policies
OP441,Publish privacy policy suite on website
OP442,Develop a privacy program
OP2620,Create an enterprise privacy accountability matrix (RACI)
OP443,Identify a privacy program sponsor or “champion”
OP444,Allocate an appropriate budget and resources
OP445,Designate one or more individuals to be responsible for privacy-related obligations
OP446,Establish a committee on the protection of personal information
OP2590,Establish a committee on the access to information and protection of personal information
OP447,Establish a committee on access to information
OP448,Establish the privacy program reporting structure
OP449,"Establish a review & approval process when designing new initiatives, services, or programs using personal data"
OP450,Assistance with building privacy requirements into a project to help reduce risks
IR,Assistance with the development of privacy-related processes
OP451,Assistance with the development of privacy-related processes
OP452,Develop capabilities to ensure privacy-related processes and privacy requirements are followed
OP453,Define privacy program controls
OP454,Define privacy program metrics
OP455,Monitor and report privacy incidents and data subject requests
OP456,Periodically review privacy management guidelines and procedures
OP457,Demonstrate effective monitoring of privacy requirements
OP2625,Define guidelines to inform stakeholders about PI usage and risks
OP458,Choose enterprise privacy risk model
OP459,Define enterprise privacy risk taxonomy
OP460,Define privacy risk assessment process
OP461,Design privacy risks reporting template
OP462,Periodically review privacy risk management guidelines and procedures
OP463,Define enterprise appetite to privacy risks
OP464,Approve the Privacy Risk Appetite Statement
OP465,Communicate Privacy Risk Appetite Statement to personnel
OP466,Audit compliance to Privacy Risk Appetite periodically
OP467,Define user permissions for privacy risk register
OP468,Define guidelines and procedures for the privacy risk register
OP469,Document and categorize privacy risks in register
OP470,Periodically review privacy risks and mitigation
OP471,Conduct periodic assessment of privacy risks in each business line
OP472,Identify privacy risks in projects
OP473,Define triggering factors leading to reassessment of privacy risks
OP474,Re-assess privacy risks based on triggering factors (Triggered)
OP475,Manage the privacy risks register
OP476,Attest that privacy risks have been identified and scored
OP477,Define mitigation plan for privacy risks
OP478,Implement a privacy risks mitigation strategies (Not specific enough)
OP479,Communicate privacy risks and their mitigation strategies to key stakeholders
OP481,Define reporting and disclosure guidelines for privacy risks
OP482,Produce privacy risks reports (Enterprise)
OP483,Communicate privacy risks to internal stakeholders (Enterprise)
OP2362,Produce privacy risks reports
OP2363,Communicate privacy risks to stakeholders (Project)
OP2052,Approve that residual privacy risks are acceptable
OP484,Monitor privacy risks on an ongoing basis
OP485,Define guidelines to escalate privacy risks 
OP486,Escalate privacy risks
OP487,Monitor internal & external factors impacting privacy risks
OP488,Monitor internal & external factors impacting privacy risks
OP489,Update the risk register based on ongoing monitoring of privacy risk factors (Triggered)
OP490,Audit implementation and effectiveness of risk responses
OP491,Identify privacy and data protection laws and regulations
OP492,Identify legal requirements related to personal information 
OP2364,Identify privacy and data protection laws and regulations applicable to the project
OP2365,Identify legal requirements related to personal information (Project)
OP552,Identify project obligations and requirements related to data subject rights and requests
OP493,Resolve gaps between enterprise policies and privacy obligations
OP494,Demonstrate that data processing is aligned with privacy regulations
OP495,Align enterprise policies with privacy obligations
OP496,Define monitoring activities to comply with privacy requirements  
OP497,Monitor for new or amended privacy laws and regulations 
OP498,Define review trigger based on new or amended privacy laws and regulations
OP499,Update enterprise privacy policies to align with new or amended laws and regulations
OP500,Communicate modified enterprise privacy policies to relevant stakeholders
OP501,Monitor internal compliance to privacy requirements
OP502,Demonstrate compliance with privacy regulations
OP2366,Demonstrate project compliance with privacy regulations
OP2367,Monitor project compliance to privacy laws and regulations
OP503,Demonstrate compliance with accountability principle (GDPR)
OP504,Monitor vendors and service providers' compliance
OP505,Periodically perform a privacy compliance audit
OP506,Escalate non-compliance / violation of privacy policies
OP507,Identify remediation plan for non-compliance/violation
OP508,Monitor remediation plans for non-compliance/violation
OP509,Demonstrate of remediation of non-compliance/violation
OP510,Define organizational privacy strategy  
OP511,Identify and engage privacy stakeholders and internal partnerships
OP512,"Provide access to and communicate privacy mission and vision statement, policies, directives and code of conduct"
OP2813,Communicate the legal and admisntrative consequences of non compliance to privacy practices guidelines
OP2837,Communicate compliance requirements to internal stakeholders
OP513,"Train personnel on required practices related to PI collection, use, handling, access, retention, and disclosure"
OP515,Attest that privacy training has been provided
OP516,Attest personnel understanding and agreement to comply to privacy requirements
OP517,Train personnel to identify and report non-compliance with privacy policies
OP518,Train personnel for management of privacy breach
OP2382,Train project team for prevention and response to privacy breaches
OP519,Attest personnel understanding of privacy breach requirements
OP520,Attest that privacy breach training has been provided
OP521,Define roles and responsibilities for inquiries related to privacy practices
OP522,Communicate privacy roles & responsibilities to personnel
OP523,Train project team on compliance with legal requirements
OP524,Train project team on data subject rights
OP525,Monitor personnel training on data subject inquiries
OP2593,Designate point of contact to assist individuals understand consent requirements
OP526,Identify consent obligations and requirements (project)
OP527,Prohibit mandatory consent for provision of product/service
OP528,Demonstrate that mandatory consent is reasonable
OP529,Define enterprise consent policy and guidelines 
OP530,Establish a process to collect consent for each specific and new use of personal information
OP531,Select consent type appropriate for identified purposes 
OP532,Develop consent forms and enterprise privacy notice templates
OP2395,Define consent form specific to intended purposes of project
OP533,Communicate data collection purposes to data subjects
OP2397,Design and implement mechanisms to collect consent
OP535,Collect consent for disclosing personal data to third-party
OP536,Collect consent for new processing purposes
OP537,Attest that consent is being collected for each identified purpose
OP538,"Demonstrate express consent for collecting, processing and disclosing sensitive data"
OP539,Assist data subject to understand consent scope
OP2814,"Collect consent for personal information collection, processing or disposal"
OP2591,Develop consent forms and privacy notice templates for the collection of personal information from parents and guardians of minors
OP2592,Establish a process to collect consent for the use of personal information of minors
OP541,Obtain parental/guardian authority consent to use personal information of minors
OP542,Verify whether child consent is given by holder of parental/guardian responsibility
OP543,Attest that consent is not collected from a child 
OP544,Attest that child consent is obtained from a valid representative
OP546,Communicate to data subjects their right to withdraw consent from PI use
OP547,Design and implement mechanisms for withdrawal of consent
OP1888,Attest that consent withdrawal is managed
OP549,Audit consent processes
OP550,Monitor transparent collection purpose
OP551,Record legal basis for consent
OP1883,Approve the Consent strategy (project)
OP1884,Attest that privacy notice was provided to data subject 
OP1885,Attest that data subject can restrict processing
OP1886,Attest that data subject can opt out from automated decision
OP1887,Attest that data subjects are informed of automated decision
OP1889,Attest that right to be forgotten is managed in context
OP1890,Attest that data subject is informed of AI usage
OP553,Define guidelines and procedures to receive and process data subject requests
OP554,Define roles and responsibilities for the processing of data subject requests
OP555,Define communication procedures and messages in response to data subject requests 
OP556,Define recording procedures of the processing of data subject requests
OP557,Establish submission methods for data subject requests
OP2368,Assess the impacts of data subject requests on developed solutions
OP2369,Strategize and plan project activities related to data subject requests
OP558,Define the identity assurance level requirements for data subject requests
OP559,Define identity verification procedures
OP2809,Communicate receipt of personal information request
OP560,Provide support in preparing a request to the organization
OP561,Receive / Detect data subject request
OP562,Verify data subject identity upon receiving request
OP563,Assess the legal grounds to accept/deny data subject requests
OP564,Assess sensitivity of personal information subject to data subject request
OP565,Review and approve request refusal 
OP566,Record enterprise decisions regarding data subject request
OP567,Confirm that the data subject request was processed successfully
OP568,Communicate enterprise decision regarding data subject request
OP569,Operationalize processing of data subject requests
OP570,Track data subject request response times
OP571,Review identity verification procedures & requirements
OP572,Review communication procedures and messages to data subject 
OP573,Review obligations regarding data subject requests periodically
OP574,Define Privacy Notice (enterprise)  
OP575,Approve the Privacy Notice
OP576,Publish Privacy Notice on website
OP577,Update Privacy Notice
OP2626,Define Privacy Notice (project)  
OP578,Communicate Privacy Notice to data subjects
OP579,Communicate privacy rights to data subjects
OP580,Communicate request submission methods
OP581,Establish a process to obtain consent for the use of personal information at the source of collection
OP582,Communicate personal information processing purposes
OP583,Communicate collection methods to data subjects
OP584,Communicate categories of personal information collected
OP585,Communicate the sources from which personal information is collected
OP586,Communicate new personal information processing purposes
OP587,Communicate categories of personal information collected from third parties
OP588,Communicate commercial purposes for personal information collection
OP589,Communicate personal information retention schedule
OP590,Communicate use of technology for personal information processing
OP591,Communicate categories of third parties to whom personal information will be disclosed
OP592,Communicate foreseeable consequences of personal information processing
OP593,Communicate (automated) decision
OP599,Communicate the potential consequences of automated processing for data subject
OP4013,Inform affected individuals about the process to rectify the personal information used to render a decision 
OP4014,Provide privacy notice and policies to individuals at the source of collection 
OP4015,"Provide privacy notice related to the use of technology that can identify, locate or profile individuals"
OP4016,Provide privacy notice related to the use of automated decision-making at the time of decision-making
OP4017,Provide privacy notice and information related to privacy policies to affected individuals 
OP4018,Provide the designated point of contact to assist individuals to understand consent requirements
OP4019,"Establish capabilities to provide reasons, principal factors and parameters that led to an automated decision to affected individuals"
OP4010,Provide the designated point of contact for inquiries related to the use of automated decision-making systems
OP4011,Provide the designated point of contact to request access or modifications to personal information
OP4008,"Designate point of contact to manage requests to access, delete or modify personal information"
OP4009,Develop privacy impact assessment guidelines and templates
OP4020,Develop data sharing agreement guidelines and templates
OP4012,Provide details on the use of automated decision-making systems to render a decision  
OP2805,Disclose to applicant that the unfavorable decision is based on consultation of financial reports
OP600,Define project strategy to restrict personal information processing
OP601,Implement procedures to restrict personal information processing
OP602,Demonstrate that PI processing is restricted
OP603,Communicate PI restriction/unrestriction to data subjects
OP604,Establish mechanisms to stop PI processing following objection
OP2372,Implement mechanisms to stop personal information processing following objection
OP605,Cease personal information processing as requested by data subject
OP606,Cease personal information processing for marketing purposes
OP607,Define the position regarding AI opt-out option  
OP608,Establish an AI opt-out mechanism for data subjects
OP609,Establish procedures to receive & process requests to opt-out
OP610,Communicate opt-out option to data subjects concerning the use of AI
OP612,Monitor requests to opt-out from AI usage
OP613,Establish an automated decision opt-out mechanism for data subjects
OP614,Define procedures to intervene in automated decision-making process
OP615,Communicate opt-out option to data subjects concerning decisions based on automated processing
OP616,Remove data subjects from automated decision-making
OP617,Attest that decision is not based solely on automated processing
OP618,Monitor requests to opt-out from automated decision-making
OP619,Periodically review opt-out processes 
OP594,Define notification message for data subjects following decision based on automated processing  
OP595,Communicate rendered decision based on automated personal information processing
OP2705,Designate a point of contact for all inquiries related to the use of automated decisions
OP1835,Define procedures to process requests concerning automated decisions
OP596,Communicate personal information used to render decision to data subject
OP597,"Communicate reasons, principal factors, and parameters that led to decision to data subject"
OP598,Communicate the right to rectification of personal information used to render decision
OP620,Define guidelines to assess and monitor the quality of personal information
OP621,Identify inaccurate personal information
OP622,Correct or erase inaccurate personal information
OP623,Record that inaccurate personal information is corrected or erased
OP624,Define procedures and mechanisms to rectify personal information
OP2379,Implement mechanisms to rectify personal information
OP625,Rectify personal information as requested by data subject
OP626,Record that personal information has been rectified
OP627,Transmit rectified personal information to stakeholders
OP628,Communicate rectified PI to third party to which the PI had been disclosed
OP2703,Establish a procedure to receive and process requests to access personal information
OP2704,"Establish a process to communicate the requirements related to the release, modification, or deletion of personal information"
OP629,Define formats to provide personal information to data subjects
OP630,Establish enterprise procedures to retrieve and transfer personal information
OP631,Communicate personal information existence to data subject
OP632,Communicate the cost for access to personal information
OP633,Transmit personal information copy to data subject
OP634,Transmit personal information in alternative format to data subject
OP1821,Define roles and responsibilities for data portability requests
OP635,Establish interoperable formats for data portability
OP1819,Identify portable data scope
OP1820,Establish procedures to extract portable data from systems
OP2570,Design and implement mechanisms to locate and retrieve personal information from systems
OP636,Establish procedures to transfer portable data to data subjects
OP1822,Train personnel for data portability request processing
OP1823,Test data portability process
OP1824,Extract portable data concerning specific data subject
OP1825,Format personal information for data portability
OP1826,Validate personal information to be transferred for portability request
OP637,Transmit personal information for data portability
OP638,Attest the compliance to data portability request
OP1827,Define roles and responsibilities for requests to be forgotten
OP1828,Define personal information exemption list for requests to be forgotten  
OP639,Define procedures to erase personal information
OP2371,Implement mechanisms to erase personal information
OP643,Define procedures to cease dissemination of personal information
OP646,Define procedures to dereference personal information
OP1829,Train personnel for requests to be forgotten
OP1830,Test personal information erasure procedures
OP1836,Identify personal information subject to erasure request
OP1831,Assess whether personal information can be erased
OP640,Erase personal information as requested by data subject
OP641,Confirm personal information erasure to data subject
OP642,Record that erasure of personal information has been performed
OP1832,Identify personal information subject to request to cease dissemination
OP1833,Assess whether personal information dissemination can be ceased
OP1834,Tag personal information subject to request to cease dissemination
OP644,Cease personal information dissemination
OP645,"Store personal information in ""Do not disseminate"" system"
OP647,De-reference personal information
OP648,Record that personal information is de-referenced
OP649,Communicate erasure requests to third parties to which PI has been disclosed
OP650,Demonstrate transmission of erasure request to third parties
OP651,Communicate erasure request refusal to data subject
OP652,Demonstrate that erasure refusal is permitted by law
OP653,Define guidelines for refusing rectification requests
OP654,Communicate rectification request refusal
OP655,Record substance of unresolved rectification challenge 
OP656,Retain personal information subject to denied rectification request
OP657,Define communication requirement and guidelines for refusal of individual access to PI
OP658,Communicate access/rectification request refusal
OP659,Retain personal information subject to refused access request
OP660,Provide support to understand access request refusal
OP661,Define guidelines for refusing restriction requests
OP662,Refuse request to restrict personal information processing
OP663,Demonstrate that continued processing of PI subject to objection is lawful
OP665,Designate accountable individual for complaint management
OP666,Establish complaint procedures for data subjects
OP667,Establish procedures to receive and process data subject complaints
OP668,Communicate complaint procedures to data subjects
OP669,Investigate data subject complaints
OP670,Amend privacy policies and practices following a complaint
OP671,Monitor complaints related to personal information processing
OP672,Define enterprise guidelines related to decision challenges
OP673,Authorize challenge of decision for clients
OP664,Record disagreements between organization and individuals on PI amendments
OP674,Define enterprise guidelines and procedures to collect personal information 
OP675,Define enterprise guidelines and procedures to document personal information collection purposes
OP676,Define enterprise guidelines and procedures to handle and process personal information 
OP677,Define enterprise guidelines and procedures to process special categories of data
OP678,Define enterprise guidelines and procedures to process data related to criminal convictions
OP679,Define enterprise guidelines and procedures to ensure lawful disclosure of personal information
OP680,Define guidelines and procedures to allow transfer of PI to a third party
OP681,Define enterprise guidelines and procedures to retain personal information
OP682,Define enterprise guidelines and procedures to destroy personal information
OP683,Define enterprise guidelines and procedures to anonymize personal information
OP684,Define enterprise guidelines and procedures to cross-link/combine data sets containing personal information
OP685,Approve the enterprise guidelines and procedures related to personal information
OP686,Assign roles and responsibilities for managing personal information across its lifecycle
OP687,Establish training about enterprise guidelines and procedures for handling personal information
OP688,Communicate personal information management directives to relevant stakeholders
OP2629,Define guidelines and procedures for accessing personal information
OP2818,Communicate to internal stakeholders activities or programs involving the use of PI in a decision process
OP2821,"Establish monitoring mechanism for access , use or disclosure of PI"
OP1691,Establish guidelines for personal information processing for web analytics
OP1699,Draft Web analytics section for Privacy Notice
OP1692,Limit personal information processing to Web analytics purposes
OP1725,Prohibit profiling with personal information collected for Web analytics
OP1727,Establish retention schedule for IP addresses
OP1695,De-identify personal information prior to transfer and/or processing
OP1726,Establish contractual requirements for transfer of personal information used for Web analytics
OP1696,Approve the third-party depersonalization techniques
OP1728,Monitor personal information processing for Web analytics
OP689,Identify in-scope requirements related to processing purposes
OP690,Enterprises define acceptable processing purposes for collecting personal information
OP691,Identify personal information necessary for processing purpose
OP692,Approve the personal information to be collected for specified processing purposes
OP693,Define processing purpose prior to collecting personal information
OP694,Approve the processing purpose prior to collecting personal information
OP695,Define new purpose for processing personal information  
OP696,Approve the new processing purpose prior to the processing of personal information
OP697,Verify that processing purpose is compatible with enterprise legal obligations and position
OP698,Review personal information required to fulfill purposes when new purposes are approved
OP699,Define guidelines and procedures to limit collection of personal information to approved purposes
OP700,Obtain agreement from authorities to collect personal information
OP701,Limit personal information collection to processing purposes
OP1881,Attest that the collection of personal information is limited to approved purposes
OP2797,Attest that only the necessary personal information is collected
OP2835,Validate legal authority for the collection of PI
OP702,Define enterprise guidelines on the granularity of PI
OP703,Justify usage of high granularity personal information
OP704,Evaluate alternative data of lower granularity
OP705,Define lower granularity alternatives for personal information
OP1880,Approve the personal information collection and usage
OP706,Provide personal information collection purposes to third-party
OP707,Attest that personal information collected by third party is limited to what is necessary for specified purposes
OP708,Attest that consent was obtained for third-party personal information collection
OP709,Record source of personal information collection
OP2798,Attest that unconsented data collection from a third-party is lawful
OP710,Attest that personal information disclosure is not mandatory for data subjects
OP711,Attest that mandatory personal information collection is permitted by law
OP2804,Determine the requirements for personal information collection specific to a request for goods or services
